image_id,fold
Train_0,3
Train_1,2
Train_2,4
Train_3,2
Train_4,1
Train_5,4
Train_6,4
Train_7,4
Train_8,2
Train_9,0
Train_10,1
Train_11,3
Train_12,0
Train_13,1
Train_14,4
Train_15,2
Train_16,4
Train_17,1
Train_18,1
Train_19,4
Train_20,0
Train_21,1
Train_22,3
Train_23,4
Train_24,2
Train_25,4
Train_26,2
Train_27,1
Train_28,4
Train_29,2
Train_30,1
Train_31,4
Train_32,1
Train_33,2
Train_34,1
Train_35,2
Train_36,3
Train_37,4
Train_38,1
Train_39,4
Train_40,1
Train_41,4
Train_42,2
Train_43,4
Train_44,0
Train_45,1
Train_46,2
Train_47,2
Train_48,0
Train_49,4
Train_50,2
Train_51,1
Train_52,1
Train_53,4
Train_54,1
Train_55,4
Train_56,3
Train_57,4
Train_58,1
Train_59,2
Train_60,4
Train_61,2
Train_62,1
Train_63,1
Train_64,2
Train_65,2
Train_66,4
Train_67,1
Train_68,2
Train_69,4
Train_70,0
Train_71,4
Train_72,1
Train_73,3
Train_74,2
Train_75,4
Train_76,1
Train_77,4
Train_78,2
Train_79,1
Train_80,4
Train_81,3
Train_82,1
Train_83,1
Train_84,4
Train_85,1
Train_86,4
Train_87,4
Train_88,1
Train_89,2
Train_90,0
Train_91,0
Train_92,3
Train_93,4
Train_94,1
Train_95,4
Train_96,1
Train_97,3
Train_98,2
Train_99,0
Train_100,4
Train_101,1
Train_102,1
Train_103,4
Train_104,1
Train_105,4
Train_106,3
Train_107,2
Train_108,1
Train_109,4
Train_110,1
Train_111,3
Train_112,2
Train_113,2
Train_114,4
Train_115,4
Train_116,0
Train_117,2
Train_118,1
Train_119,3
Train_120,4
Train_121,1
Train_122,0
Train_123,4
Train_124,0
Train_125,1
Train_126,4
Train_127,1
Train_128,3
Train_129,4
Train_130,1
Train_131,2
Train_132,3
Train_133,4
Train_134,4
Train_135,1
Train_136,1
Train_137,0
Train_138,4
Train_139,4
Train_140,2
Train_141,1
Train_142,1
Train_143,4
Train_144,1
Train_145,4
Train_146,1
Train_147,3
Train_148,1
Train_149,4
Train_150,0
Train_151,0
Train_152,1
Train_153,4
Train_154,1
Train_155,4
Train_156,2
Train_157,1
Train_158,4
Train_159,3
Train_160,4
Train_161,3
Train_162,4
Train_163,1
Train_164,4
Train_165,1
Train_166,0
Train_167,3
Train_168,2
Train_169,3
Train_170,1
Train_171,0
Train_172,1
Train_173,4
Train_174,1
Train_175,4
Train_176,4
Train_177,2
Train_178,3
Train_179,1
Train_180,1
Train_181,0
Train_182,2
Train_183,2
Train_184,4
Train_185,4
Train_186,0
Train_187,1
Train_188,2
Train_189,4
Train_190,2
Train_191,1
Train_192,3
Train_193,4
Train_194,1
Train_195,0
Train_196,3
Train_197,3
Train_198,4
Train_199,1
Train_200,4
Train_201,1
Train_202,4
Train_203,1
Train_204,2
Train_205,4
Train_206,0
Train_207,0
Train_208,1
Train_209,1
Train_210,4
Train_211,0
Train_212,2
Train_213,1
Train_214,4
Train_215,4
Train_216,3
Train_217,0
Train_218,2
Train_219,4
Train_220,1
Train_221,0
Train_222,4
Train_223,0
Train_224,3
Train_225,3
Train_226,3
Train_227,0
Train_228,3
Train_229,1
Train_230,4
Train_231,3
Train_232,0
Train_233,1
Train_234,0
Train_235,1
Train_236,3
Train_237,1
Train_238,4
Train_239,0
Train_240,4
Train_241,3
Train_242,0
Train_243,2
Train_244,1
Train_245,1
Train_246,4
Train_247,2
Train_248,3
Train_249,0
Train_250,0
Train_251,1
Train_252,4
Train_253,3
Train_254,0
Train_255,1
Train_256,4
Train_257,3
Train_258,3
Train_259,4
Train_260,0
Train_261,3
Train_262,1
Train_263,0
Train_264,4
Train_265,2
Train_266,2
Train_267,3
Train_268,3
Train_269,1
Train_270,2
Train_271,0
Train_272,0
Train_273,4
Train_274,0
Train_275,1
Train_276,4
Train_277,2
Train_278,3
Train_279,0
Train_280,2
Train_281,1
Train_282,1
Train_283,3
Train_284,0
Train_285,3
Train_286,4
Train_287,4
Train_288,4
Train_289,3
Train_290,3
Train_291,0
Train_292,2
Train_293,1
Train_294,4
Train_295,3
Train_296,0
Train_297,0
Train_298,1
Train_299,4
Train_300,3
Train_301,0
Train_302,0
Train_303,1
Train_304,2
Train_305,1
Train_306,3
Train_307,4
Train_308,2
Train_309,4
Train_310,3
Train_311,0
Train_312,1
Train_313,4
Train_314,0
Train_315,1
Train_316,2
Train_317,4
Train_318,1
Train_319,3
Train_320,0
Train_321,1
Train_322,4
Train_323,2
Train_324,3
Train_325,0
Train_326,1
Train_327,3
Train_328,0
Train_329,2
Train_330,0
Train_331,2
Train_332,4
Train_333,3
Train_334,1
Train_335,4
Train_336,2
Train_337,3
Train_338,0
Train_339,3
Train_340,0
Train_341,0
Train_342,1
Train_343,4
Train_344,2
Train_345,4
Train_346,3
Train_347,1
Train_348,1
Train_349,2
Train_350,3
Train_351,0
Train_352,3
Train_353,0
Train_354,1
Train_355,4
Train_356,2
Train_357,2
Train_358,3
Train_359,0
Train_360,1
Train_361,2
Train_362,4
Train_363,2
Train_364,3
Train_365,3
Train_366,0
Train_367,1
Train_368,0
Train_369,4
Train_370,2
